GAME_ID,TEAM_ID,TEAM_ABBREVIATION,OPPONENT_TEAM_ID,OPPONENT_TEAM_ABBREVIATION,Total_First_Quarter_Points,GAME_DATE,MATCHUP,MONTH,Home_Away,Recent_Trend_Team,Recent_Trend_Opponent,Head_to_Head_Q1,SEASON,Season_Avg_Pace_Team,Season_Avg_Pace_Opponent,Average_Season_Avg_Pace,Season_Avg_FG_PCT_Team,Season_Avg_FG_PCT_Opponent,PTS,OPP_PTS,Off_Rating,PPG_Team,PPG_Opponent,Off_Rating_Avg,Opp_Off_Rating_Avg
22300451,1610612752,NYK,1610612750,MIN,55,2024-01-01,NYK vs. MIN,1,Home,"[27, 29, 25, 36, 27]","[29, 37, 35, 28, 36]",66.66666666666667,2023-24,95.96,97.79,96.875,0.4653939393939394,0.48678125,112.0,106.0,115.5,115.34375,113.90625,117.40625,113.80967741935484
22300451,1610612750,MIN,1610612752,NYK,55,2024-01-01,MIN @ NYK,1,Away,"[29, 37, 35, 28, 36]","[27, 29, 25, 36, 27]",66.66666666666667,2023-24,97.79,95.96,96.875,0.48678125,0.4653939393939394,106.0,112.0,110.4,113.25806451612904,107.38709677419355,113.80967741935484,117.40625
22300452,1610612761,TOR,1610612739,CLE,73,2024-01-01,TOR vs. CLE,1,Home,"[24, 20, 31, 34, 37]","[37, 27, 32, 28, 36]",61.66666666666666,2023-24,99.91,97.62,98.765,0.4763636363636364,0.4730909090909091,124.0,121.0,121.6,113.65625,115.0,114.01875,113.03125
22300452,1610612739,CLE,1610612761,TOR,73,2024-01-01,CLE @ TOR,1,Away,"[37, 27, 32, 28, 36]","[24, 20, 31, 34, 37]",61.66666666666666,2023-24,97.62,99.91,98.765,0.4730909090909091,0.4763636363636364,121.0,124.0,118.6,112.03125,112.03125,113.03125,114.01875
22300453,1610612745,HOU,1610612765,DET,60,2024-01-01,HOU vs. DET,1,Home,"[32, 24, 33, 26, 23]","[25, 30, 31, 21, 32]",63.66666666666666,2023-24,99.59,100.45,100.02000000000001,0.46638709677419354,0.46736363636363637,136.0,113.0,129.5,112.3,109.73333333333333,113.71666666666667,108.528125
22300453,1610612765,DET,1610612745,HOU,60,2024-01-01,DET @ HOU,1,Away,"[25, 30, 31, 21, 32]","[32, 24, 33, 26, 23]",63.66666666666666,2023-24,100.45,99.59,100.02000000000001,0.46736363636363637,0.46638709677419354,113.0,136.0,108.7,110.28125,121.21875,108.528125,113.71666666666667
22300454,1610612749,MIL,1610612754,IND,57,2024-01-01,MIL vs. IND,1,Home,"[31, 32, 27, 36, 28]","[32, 37, 33, 27, 22]",62.333333333333336,2023-24,100.51,102.16,101.33500000000001,0.500030303030303,0.50825,113.0,122.0,108.7,124.96875,118.9375,121.08125,122.40645161290323
22300454,1610612754,IND,1610612749,MIL,57,2024-01-01,IND @ MIL,1,Away,"[32, 37, 33, 27, 22]","[31, 32, 27, 36, 28]",62.333333333333336,2023-24,102.16,100.51,101.33500000000001,0.50825,0.500030303030303,122.0,113.0,117.3,126.58064516129032,124.80645161290323,122.40645161290323,121.08125
22300455,1610612743,DEN,1610612766,CHA,42,2024-01-01,DEN vs. CHA,1,Home,"[27, 33, 29, 25, 28]","[30, 31, 27, 27, 29]",52.66666666666666,2023-24,97.43,97.81,97.62,0.4910285714285714,0.46645161290322584,111.0,93.0,116.8,115.26470588235294,110.26470588235294,117.90294117647058,110.86
22300455,1610612766,CHA,1610612743,DEN,42,2024-01-01,CHA @ DEN,1,Away,"[30, 31, 27, 27, 29]","[27, 33, 29, 25, 28]",52.66666666666666,2023-24,97.81,97.43,97.62,0.46645161290322584,0.4910285714285714,93.0,111.0,97.9,110.56666666666666,121.43333333333334,110.86,117.90294117647058
22300456,1610612757,POR,1610612756,PHX,49,2024-01-01,POR @ PHX,1,Away,"[29, 14, 32, 30, 24]","[37, 36, 30, 24, 30]",57.333333333333336,2023-24,97.88,99.0,98.44,0.4395625,0.4799090909090909,88.0,109.0,87.1,109.41935483870968,115.19354838709677,109.71612903225805,116.753125
22300456,1610612756,PHX,1610612757,POR,49,2024-01-01,PHX vs. POR,1,Home,"[37, 36, 30, 24, 30]","[29, 14, 32, 30, 24]",57.333333333333336,2023-24,99.0,97.88,98.44,0.4799090909090909,0.4395625,109.0,88.0,107.9,115.4375,114.375,116.753125,109.71612903225805
22300457,1610612742,DAL,1610612762,UTA,63,2024-01-01,DAL @ UTA,1,Away,"[34, 26, 39, 36, 40]","[27, 37, 27, 31, 34]",65.33333333333333,2023-24,100.6,100.26,100.43,0.46958823529411764,0.45891176470588235,90.0,127.0,87.4,119.15151515151516,117.75757575757575,117.87878787878788,112.10909090909091
22300457,1610612762,UTA,1610612742,DAL,63,2024-01-01,UTA vs. DAL,1,Home,"[27, 37, 27, 31, 34]","[34, 26, 39, 36, 40]",65.33333333333333,2023-24,100.26,100.6,100.43,0.45891176470588235,0.46958823529411764,127.0,90.0,123.3,113.39393939393939,118.78787878787878,112.10909090909091,117.87878787878788
22300458,1610612748,MIA,1610612746,LAC,58,2024-01-01,MIA @ LAC,1,Away,"[28, 22, 26, 33, 25]","[33, 26, 21, 29, 35]",52.333333333333336,2023-24,96.88,97.93,97.405,0.4708787878787879,0.48853125,104.0,121.0,108.3,113.28125,111.71875,115.471875,117.36129032258064
22300458,1610612746,LAC,1610612748,MIA,58,2024-01-01,LAC vs. MIA,1,Home,"[33, 26, 21, 29, 35]","[28, 22, 26, 33, 25]",52.333333333333336,2023-24,97.93,96.88,97.405,0.48853125,0.4708787878787879,121.0,104.0,126.0,116.58064516129032,112.16129032258064,117.36129032258064,115.471875
22300459,1610612755,PHI,1610612741,CHI,61,2024-01-02,PHI vs. CHI,1,Home,"[17, 26, 26, 22, 28]","[21, 31, 28, 30, 27]",48.66666666666666,2023-24,98.17,96.94,97.555,0.4814242424242424,0.45402857142857145,110.0,97.0,107.8,121.0,110.9375,120.753125,112.36176470588236
22300459,1610612741,CHI,1610612755,PHI,61,2024-01-02,CHI @ PHI,1,Away,"[21, 31, 28, 30, 27]","[17, 26, 26, 22, 28]",48.66666666666666,2023-24,96.94,98.17,97.555,0.45402857142857145,0.4814242424242424,97.0,110.0,94.2,109.88235294117646,112.02941176470588,112.36176470588236,120.753125
22300460,1610612763,MEM,1610612759,SAS,43,2024-01-02,MEM vs. SAS,1,Home,"[29, 25, 27, 24, 25]","[22, 29, 38, 32, 29]",63.66666666666666,2023-24,98.68,101.8,100.24000000000001,0.43745454545454543,0.45412121212121215,106.0,98.0,108.2,106.75,113.84375,106.68125,107.325
22300460,1610612759,SAS,1610612763,MEM,43,2024-01-02,SAS @ MEM,1,Away,"[22, 29, 38, 32, 29]","[29, 25, 27, 24, 25]",63.66666666666666,2023-24,101.8,98.68,100.24000000000001,0.45412121212121215,0.43745454545454543,98.0,106.0,100.0,111.34375,123.34375,107.325,106.68125
22300461,1610612740,NOP,1610612751,BKN,50,2024-01-02,NOP vs. BKN,1,Home,"[42, 39, 19, 24, 36]","[36, 25, 31, 25, 32]",51.66666666666666,2023-24,98.7,97.56,98.13,0.4836764705882353,0.4618235294117647,112.0,85.0,119.1,115.96969696969697,112.96969696969697,115.48787878787878,116.51515151515152
